Hierarchy Level	Metric Name	Metric Value
4	DRAM Bound	0.5
5	Memory Bandwidth	0.7
5	Memory Latency	1.0
4	Store Bound	0.1
5	Store Latency	0.5
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.8
6	Store STLB Hit	0.1
6	Store STLB Miss	0.7
7	Store STLB Miss 4K	0.7
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	17.9
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	1.3
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	13.3
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	2.4
5	Cycles of 2 Ports Utilized	3.9
5	Cycles of 3+ Ports Utilized	93.4
6	ALU Operation Utilization	46.8
7	Port 0	59.4
7	Port 1	31.1
7	Port 6	68.1
6	Load Operation Utilization	73.2
6	Store Operation Utilization	3.1
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	100.0
3	General Retirement	100.0
4	FP Arithmetic	0.0
4	Other	100.0
3	Microcode Sequencer	0.0
2	Front-End Bound	1.3
3	Front-End Latency	0.0
4	ICache Misses	0.0
4	ITLB Misses	0.0
4	BACLEARS	0.0
4	Branch Resteers	0.0
3	Front-End Bandwidth	0.2
4	Cisc	0.1
4	Decode	0.0
4	Pre-Decode Wrong	0.0
4	Front-End Other	0.0
2	Bad Speculation	0.0
3	Branch Mispredict	7.9
3	Machine Clears	0.0
4	Machine Clear	0.0
5	SMC Machine Clear	0.0
5	Machine Ordering	0.0
5	FP Assists	0.0
5	Disambiguation	0.0
5	Page Faults	0.0
4	Fast Machine Clears	0.0
2	Back-End Bound	27.0
3	Core Bound	27.0
3	Memory Bound	0.0
4	Store Bound	0.0
4	L1 Bound	0.0
5	Loads Blocked by Store Forwarding	0.0
5	Load STLB Hit	0.0
5	Load STLB Miss	0.0
5	Other L1	0.0
4	L2 Bound	0.0
4	L3 Bound	0.0
4	DRAM Bound	0.0
4	Other Load Store	0.0
2	Back-End Bound Auxiliary	27.0
3	Resource Bound	27.0
4	Memory Scheduler	3.1
5	ST Buffer	0.0
5	LD Buffer	0.000065
5	RSV	0.030245
4	Non-memory Scheduler	10.7
4	Register	0.0
4	Full Re-order Buffer (ROB)	19.2
4	Allocation Restriction	0.0
4	Serializing Operations	0.9
1	Average CPU Frequency	5031861029.532481
1	Total Thread Count	13
1	Paused Time	0.0
0	Effective Physical Core Utilization	19.4% (3.875 out of 20)
1	Effective Logical Core Utilization	16.8% (4.703 out of 28)
0	Collection and Platform Info	
1	Application Command Line	./bin/gaussian "7" "12" 
1	Operating System	6.17.0-14-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	abdulkadirt
1	Result Size	33363286
1	Collection start time	08:13:54 11/03/2026 UTC
1	Collection stop time	08:13:56 11/03/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	3417600038
2	Logical CPU Count	28
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
