Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	437892800000	87114800000	51384200000	160879750	17788518748	81797792	0	87395561367	10606704	0	5253137	5353567	0	0	0	127219111	0	122559628	0	907225530	0	18656313900	366821761	90013469	55104563013	0	0	0	0	321660096498	52067122721	375409263	25921780	0	1068331743	71805091042	72811710112	0	0	0	0	158534887	0	0	19946002053	1023881	0	0	0	0	81364502970	99495049	330405033170	0	0	59562925	0	437139176426	0	0	0	29999451	10003600	0	9844709	0	0	0	0	0	0	0	0	0	984536	113483614192	0	0	0	0	0	10003600	39809059	0	0	978088588491	390253771854	5356171190	13619174250	27183000000	797553305	7813200000	7857400000	300000090	4922680	1761309003	0	0	0	0	0	0	64107243258	790125101	226333274	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2332400000	1088000000	734400000	0	0	0	0	1060380063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950000285	147056889	104040248	0	0	3502275	1122400620	1010363600	0	0	0	0	220078881	0	0	300108000	0	0	0	0	20007200	2901036344	900321624	1980709929	0	0	10003600	0	6902465784	0	0	0	0	10003600	0	0	0	6002322	2000774	0	0	0	0	0	0	2000854	200072000	0	0	0	0	0	0	100036000	0	0	4231522800	7218792592	20713455	100035855	0	100036000	0	0	0	10004270	0	0	0	30011610	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1230800000	1190000000	530400000	1586070	10534997	36858545	0	791360417	0	0	0	5253137	0	0	0	13752050	1050640	10587699	1050640	747807	210586	190369951	0	297820840	84659902	0	0	0	0	3440001032	56881392	162392988	0	0	4091913	1052401959	468754210	0	0	0	2000774	180164658	120043200	984536	1627461435	13005031	0	0	0	0	1199806307	798671086	978924755	30010800	0	230087914	0	3593098755	0	0	1000387	89908694	0	20007200	0	1000427	0	0	0	0	0	0	0	0	5030521	300128461	0	0	0	500388	2000744	89709440	169341231	110039600	0	3581391105	292345875	22951082	84719528	54400000	0	54400000	81600000	0	25152605	167315535	0	0	0	0	2501940	17007259	25296048	5273508	93105764	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	486200000	292400000	0	0	0	0	0	220078881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92035604	72027864	0	0	2501625	238084980	260093600	0	0	0	0	20007171	0	0	400144000	0	0	0	0	0	200071472	0	400143420	0	0	0	2000744	2200786192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90032400	0	0	0	0	0	0	0	0	0	450162000	440170280	9506175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	476000000	244800000	149600000	0	0	0	0	200071710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290000087	88034056	17006579	23008901	3001161	1200780	170060700	200072000	0	0	0	0	20007171	0	0	120043200	0	0	0	0	0	200071472	0	260093223	0	0	500180000	0	1600571776	0	0	0	150054000	10003600	0	0	0	0	0	0	0	70025200	0	0	0	27011529	70025200	32011904	28010416	0	0	0	10003600	60021600	0	0	350126000	531205497	16610790	0	0	0	0	0	0	135057645	544194240	160059520	140052080	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	438600000	217600000	112200000	0	0	0	0	260093223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190000057	85032895	49018963	0	0	700455	170060700	190068400	0	0	0	0	0	0	0	110039600	0	0	0	0	0	700250152	0	520186446	0	0	0	0	1400500304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110039600	0	0	0	0	0	0	0	0	0	550198000	4302664487	3502275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	384200000	68000000	44200000	0	0	0	0	60021513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80000024	72027864	17006579	0	0	900585	102036420	60021600	0	0	0	0	0	0	0	10003600	0	0	0	0	0	0	0	300107565	0	0	40014400	0	600214416	0	0	0	20007200	0	0	0	0	0	0	0	0	10003600	0	0	0	0	110039600	4001488	4001488	0	0	0	0	0	0	0	3781360800	3914514331	4502925	0	0	0	0	0	0	0	0	20007440	20007440	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4db0	350200000	119000000	0	0	0	0	0	160057368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40015480	17006579	0	0	1000650	68024280	100036000	0	0	0	0	40014342	0	0	120043200	0	0	0	0	20007200	100035736	0	380136249	0	0	0	0	400142944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30010800	0	0	0	0	0	0	0	0	0	150054000	202078174	5003250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x39a20	336600000	95200000	47600000	0	0	0	0	100035855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000027	32012384	14005418	0	0	800520	0	70025200	0	0	0	0	0	0	1000427	0	1000387	0	0	0	0	200071472	0	340121907	0	0	0	0	400142944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30010800	0	0	0	0	0	0	0	0	0	150054000	1129436923	4002600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	336600000	57800000	0	0	0	0	0	120043026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15005805	6002322	0	0	100065	170060700	50018000	0	0	0	1000387	0	0	0	0	0	0	0	0	0	100035736	0	340121907	0	0	0	0	500178680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75029025	500325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	153000000	40800000	0	0	0	0	0	20007171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34013158	27010449	0	0	200130	68024280	40014400	0	0	0	0	0	0	0	30010800	0	0	0	0	0	0	0	100035855	0	0	0	0	400142944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20007200	0	0	0	0	0	0	0	0	0	100036000	170065790	1000650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	122400000	34000000	0	0	0	0	0	40014342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88034056	45017415	0	0	400260	34012140	60021600	0	0	0	0	0	0	0	20007200	5001935	0	0	0	0	200071472	0	140050197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000427	60021600	0	0	0	0	0	0	0	0	0	300108000	440170280	2801820	0	0	0	0	0	0	5002135	0	0	0	0	0	0	0	0	0	0	mean	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[]	119000000	17000000	0	0	0	0	0	20007171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31011997	0	0	0	1300845	68024280	10003600	0	0	0	0	0	0	0	0	2000774	0	0	0	0	0	0	180064539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60021600	0	0	0	0	0	0	0	0	0	300108000	434167958	6504225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mean	std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[](unsigned long) const	stl_vector.h	0x40815b
func@0x9240	91800000	47600000	34000000	0	0	0	0	60021513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000027	8003096	3001161	0	0	400260	102036420	50018000	0	0	0	0	20007171	0	0	10003600	0	0	0	0	0	300107208	0	100035855	0	0	0	0	300107208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20007200	0	0	0	0	0	0	0	0	0	100036000	363140481	2001300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0x9240	[Unknown]	0x9240
adler32_z	71400000	34000000	0	0	0	0	0	60021513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27010449	6002322	0	0	300195	68024280	30010800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80028684	0	0	0	0	100035736	2000744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130050310	1500975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	adler32_z	[Unknown]	0x6ba0
func@0x36390	57800000	20400000	10200000	0	0	0	0	20007171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000774	0	0	0	34012140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40014342	0	0	0	0	200071472	2000744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x36390	[Unknown]	0x36390
strcmp	40800000	37400000	20400000	0	0	0	0	20007171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110000033	0	0	0	1000387	0	0	10003600	0	0	0	0	0	0	0	120043200	0	0	0	0	0	0	100035736	120043026	0	0	30010800	0	100035736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10003600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	strcmp	strcmp-sse2.S	0x274e0
std::vector<float, std::allocator<float>>::push_back	37400000	3400000	0	0	0	0	0	20007171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10003600	0	0	0	0	0	0	0	0	2000774	0	0	0	0	0	0	40014342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mean	std::vector<float, std::allocator<float>>::push_back(float const&)	stl_vector.h	0x40276f
func@0x267ee0	27200000	23800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000744	0	1000776	0	170061200	130046800	20007200	0	0	0	0	0	0	0	0	0	0	0	0	0	10003720	0	0	5003880	0	0	0	0	libopencv_core.so.4.6.0	func@0x267ee0	[Unknown]	0x267ee0
_int_malloc	23800000	10200000	20400000	0	0	0	0	20007171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000003	1000387	0	0	0	0	0	10003600	0	0	0	0	0	0	0	30010800	3001161	0	0	0	0	0	0	60021513	0	0	0	0	200071472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10003600	0	0	0	5001935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libc.so.6	_int_malloc	malloc.c	0xab570
FilterHandler::loadImage	20400000	27200000	17000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170000051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600214416	700250152	140050197	80028800	0	30010800	6002232	600214416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mean	FilterHandler::loadImage(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)	FilterHandler.cpp	0x402e6a
